@relation 'bookkeeperdataset-weka.filters.unsupervised.attribute.Remove-R1,2-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 16 -O-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute Buggy=YES numeric
@attribute AVG_LOC numeric
@attribute LOC_added numeric
@attribute NAuth numeric
@attribute NFix numeric
@attribute NR numeric
@attribute LOC_touched numeric
@attribute MAX_LOC numeric
@attribute Churn numeric
@attribute WeightedAge numeric
@attribute MAX_Churn numeric
@attribute Age numeric
@attribute AVG_ChgSet numeric
@attribute MAX_ChgSets numeric
@attribute ChgSetSize numeric
@attribute AVG_Churn numeric
@attribute LOC numeric

@data
-0.091722,202.325577,202.151803,0.963928,-0.001356,1.163644,242.191446,202.151803,162.112161,7.398105,161.554642,-1.999574,229.803415,268.84272,358.044731,51.924372,245.887721
-0.089237,85.182831,52.946119,0.968335,-0.001195,1.152828,42.388468,52.946119,63.50377,7.493691,50.981084,-1.697438,229.908321,268.416475,356.06212,-26.459774,83.251239
-0.096823,442.776478,508.416103,0.954881,-0.001687,1.185847,652.313349,508.416103,364.518858,7.201903,388.521419,-2.619748,229.588082,269.717644,362.114299,212.818146,579.720498
-0.097673,482.851628,559.460153,0.953373,-0.001742,1.189548,720.666999,559.460153,398.253307,7.169202,426.349216,-2.72311,229.552193,269.863465,362.792561,239.633775,635.359294
-0.090725,155.314343,142.273206,0.965697,-0.001292,1.159303,162.007356,142.273206,122.539056,7.436465,117.179727,-1.878322,229.845516,268.671661,357.249078,20.467577,180.619133
-0.091134,174.581242,166.813615,0.964972,-0.001318,1.161083,194.869688,166.813615,138.757542,7.420744,135.366168,-1.928015,229.828261,268.741768,357.575165,33.359706,207.368554
-0.090709,154.543667,141.29159,0.965726,-0.001291,1.159232,160.692863,141.29159,121.890317,7.437094,116.452269,-1.876334,229.846206,268.668857,357.236034,19.951891,179.549156
-0.100779,629.280061,745.967259,0.947864,-0.001943,1.203069,970.420722,745.967259,521.513796,7.04972,564.566164,-3.10078,229.42106,270.396271,365.270824,337.613958,838.654896
-0.091722,202.325577,202.151803,0.963928,-0.001356,1.163644,242.191446,202.151803,162.112161,7.398105,161.554642,-1.999574,229.803415,268.84272,358.044731,51.924372,245.887721
-0.089188,82.870803,50.00127,0.968422,-0.001192,1.152614,38.444988,50.00127,61.557552,7.495578,48.798711,-1.691475,229.910392,268.408063,356.02299,-28.00683,80.041309
-0.088927,70.539987,34.295408,0.968886,-0.001175,1.151475,17.413095,34.295408,51.177721,7.505639,37.159389,-1.659671,229.921435,268.363195,355.814294,-36.257792,62.921679
-0.089907,116.780545,93.192389,0.967147,-0.001239,1.155745,96.282692,93.192389,90.102086,7.467908,80.806846,-1.778935,229.880024,268.531449,356.596903,-5.316682,127.12029
-0.088927,70.539987,34.295408,0.968886,-0.001175,1.151475,17.413095,34.295408,51.177721,7.505639,37.159389,-1.659671,229.921435,268.363195,355.814294,-36.257792,62.921679
-0.089842,113.697841,89.265923,0.967263,-0.001235,1.155461,91.024719,89.265923,87.507128,7.470424,77.897016,-1.770984,229.882785,268.520232,356.544729,-7.379423,122.840383
-0.09249,238.547347,248.287771,0.962565,-0.001406,1.166989,303.97263,248.287771,192.602913,7.368549,195.74515,-2.092997,229.770977,268.97452,358.657775,76.161575,296.176633
-0.091183,176.89327,169.758464,0.964885,-0.001321,1.161296,198.813168,169.758464,140.70376,7.418857,137.54854,-1.933979,229.826191,268.75018,357.614295,34.906761,210.578484
-0.092098,220.051124,224.728979,0.963261,-0.001381,1.165281,272.424791,224.728979,177.033167,7.383642,178.286167,-2.045292,229.787541,268.907218,358.344731,63.785131,270.497188
-0.093292,276.31047,296.386972,0.961144,-0.001458,1.170476,368.382801,296.386972,224.391144,7.337735,231.390573,-2.190397,229.737159,269.111928,359.296906,101.430149,348.605498
-0.100076,596.140994,703.757756,0.94911,-0.001898,1.200009,913.897511,703.757756,493.618001,7.076761,533.285486,-3.015307,229.450737,270.275689,364.709954,315.439496,792.645892
-0.094845,349.524686,389.640525,0.958389,-0.001559,1.177237,493.259662,389.640525,286.021389,7.277994,300.499047,-2.379232,229.671592,269.378331,360.536037,150.42024,450.253299
-0.089515,98.284322,69.633597,0.967842,-0.001213,1.154037,64.734853,69.633597,74.53234,7.483001,63.347863,-1.731229,229.896588,268.464147,356.283859,-17.693126,101.440846
-0.091215,178.434622,171.721697,0.964827,-0.001324,1.161438,201.442154,171.721697,142.001239,7.4176,139.003456,-1.937954,229.82481,268.755789,357.640382,35.938132,212.718438
-0.09097,166.874483,156.997451,0.965262,-0.001308,1.160371,181.724755,156.997451,132.270148,7.427033,128.091591,-1.908138,229.835163,268.713725,357.44473,28.202854,196.668785
-0.089744,109.073786,83.376225,0.967437,-0.001228,1.155034,83.137759,83.376225,83.614692,7.474197,73.53227,-1.759058,229.886926,268.503407,356.466468,-10.473534,116.420521
-0.090218,131.423389,111.843099,0.966596,-0.001259,1.157097,121.258064,111.843099,102.428135,7.45596,94.628541,-1.816702,229.866911,268.58473,356.84473,4.481336,147.44985
-0.089286,87.494859,55.890968,0.968248,-0.001199,1.153041,46.331947,55.890968,65.449988,7.491805,53.163456,-1.703401,229.906251,268.424888,356.101251,-24.912719,86.46117
-0.009832,59.505546,42.521291,2.037656,0.000651,1.034212,-23.144147,42.521291,108.186729,22.280267,108.024757,34.900561,227.840278,271.691011,372.481676,19.498272,34.813004
-0.055734,75.208507,56.914808,1.86736,-0.000028,1.1265,-3.270016,56.914808,117.099633,17.448536,115.542488,28.204055,241.311235,286.628998,390.914586,19.834524,70.617064
-0.051868,225.606326,261.847667,1.872405,0.000022,1.121097,226.965305,261.847667,296.730028,17.20409,319.346254,28.040185,238.722721,286.152903,396.62497,163.47984,240.716865
-0.008729,125.239357,134.268548,2.042984,0.000666,1.033008,71.986202,134.268548,196.550894,21.619967,208.494851,34.692644,226.345327,271.355627,375.565056,89.927071,118.189324
-0.006716,124.491079,138.429133,2.045444,0.00109,1.039709,59.079572,138.429133,217.778694,26.318258,233.849644,36.399598,238.923887,287.115498,399.256573,104.865827,117.496711
-0.031627,153.562051,175.380367,2.035143,0.000641,1.078104,101.200131,175.380367,249.560602,23.956163,268.813551,35.338504,244.371321,293.652617,408.605285,127.468498,166.144501
-0.056576,59.332691,35.573891,1.867686,-0.000037,1.127836,-28.45813,35.573891,99.605912,17.309978,95.703103,28.184055,241.506441,286.627834,390.345567,5.785462,54.096082
0.840981,105.539653,99.349564,2.743227,-0.000012,1.369866,-25.261518,99.349564,223.960646,42.027381,239.541381,47.113025,209.611189,260.403552,369.836191,117.891109,154.256785
-0.032412,130.588314,143.667277,2.03419,0.000632,1.079257,66.929254,143.667277,220.405301,24.017466,235.676986,35.372354,244.808787,293.718634,407.582894,104.171811,138.756102
-0.056292,68.812022,48.733571,1.868229,-0.000033,1.127437,-14.515654,48.733571,111.982796,17.259727,109.775934,28.164396,241.310838,286.593071,390.783339,15.665212,65.824668
-0.053757,142.331518,150.335553,1.871515,-0.000004,1.123745,94.869712,150.335553,205.801394,17.039595,216.42131,28.051672,239.888405,286.371072,394.081135,90.618233,154.685495
-0.055551,83.894863,68.969754,1.867947,-0.000025,1.126268,9.483093,68.969754,128.456415,17.383595,128.450489,28.182047,241.126307,286.589964,391.305033,28.894163,81.384317
-0.08891,69.769312,33.313792,0.968915,-0.001174,1.151404,16.098602,33.313792,50.528981,7.506268,36.431931,-1.657683,229.922125,268.36039,355.80125,-36.773478,61.851702
-0.056437,53.835836,27.719105,1.866749,-0.000036,1.127532,-35.876526,27.719105,91.314735,17.457679,86.270293,28.222466,241.677339,286.684628,390.062105,-0.790965,46.207871
-0.056722,53.803852,27.899471,1.867347,-0.000039,1.128035,-36.584244,27.899471,92.383185,17.344096,87.491939,28.196538,241.621974,286.649937,390.092959,0.02146,47.250322
-0.007827,89.868256,90.627009,2.044028,0.001079,1.04124,7.486227,90.627009,173.767791,26.429955,183.837811,36.457724,239.580748,287.209995,397.705305,69.702703,77.141289
-0.033937,82.398556,76.763816,2.031524,0.000614,1.081427,-3.973606,76.763816,157.501237,24.253269,164.148324,35.46814,245.797249,293.887891,405.346267,53.953084,79.152482
-0.008197,67.010815,59.763006,2.043389,0.001074,1.041766,-28.112684,59.763006,147.638697,26.461926,154.236673,36.479517,239.947508,287.289917,396.945278,48.797,52.628788
-0.007458,102.587224,108.723966,2.045292,0.001083,1.040789,25.11781,108.723966,192.330123,26.27371,204.9878,36.408749,239.252256,287.146433,398.423119,84.482056,94.757023
0.853657,326.654006,394.401526,2.767907,0.000165,1.348561,330.903588,394.401526,457.899464,42.180244,504.199323,47.639217,201.397303,253.65404,367.751237,307.075411,356.81887
-0.007855,79.023156,76.055683,2.04359,0.001077,1.041267,-9.519443,76.055683,161.63081,26.469006,170.103488,36.471607,239.75912,287.263256,397.390158,59.998115,65.424305
-0.010297,65.069802,50.893535,2.039503,0.000648,1.035149,-16.797112,50.893535,118.584182,21.965752,119.876268,34.823003,227.578577,271.587554,372.854693,27.694211,44.74478
-0.007438,107.82547,116.342666,2.046253,0.001085,1.04081,31.92191,116.342666,200.763421,26.142648,214.607573,36.374894,239.075449,287.093801,398.741074,91.171967,103.44302
-0.026619,303.251589,382.103011,2.041602,0.000696,1.070778,324.234811,382.103011,439.971211,23.512688,485.229361,35.108116,241.498195,293.208183,415.279468,279.600489,345.146547
0.008794,194.168486,237.555269,2.069181,0.00134,1.015277,159.799685,237.555269,315.310852,24.665647,345.098507,36.263721,228.887564,277.018177,389.72333,184.796941,203.493259
0.00275,518.214286,675.867572,2.058968,0.001196,1.026434,659.451279,675.867572,692.283866,25.431383,772.257795,35.890923,232.043535,285.879987,414.547204,484.241865,558.375532
0.005612,310.141228,396.502604,2.076893,0.001351,1.022495,332.801227,396.502604,460.203981,23.851655,509.379367,36.034031,228.839075,279.106893,397.88606,299.779473,337.067307
-0.007825,90.61562,92.075009,2.04461,0.00108,1.041288,7.577978,92.075009,176.57204,26.340461,187.068169,36.43516,239.500836,287.187917,397.856716,71.904451,80.044967
-0.088976,72.852015,37.240257,0.968799,-0.001179,1.151689,21.356575,37.240257,53.123939,7.503753,39.341762,-1.665634,229.919364,268.371607,355.853424,-34.710737,66.131609
-0.054441,84.784107,68.101908,1.864267,-0.000015,1.124229,16.315434,68.101908,119.888381,18.046998,118.554368,28.338335,241.507934,286.766997,390.85417,22.307394,73.318989
-0.0038,55.887832,37.851506,2.614625,0.000844,1.077528,-37.934197,37.851506,113.637209,20.88943,113.48601,51.102023,229.658149,275.451733,380.446567,24.465863,52.295547
-0.055887,62.578258,39.392223,1.866374,-0.00003,1.126641,-21.779634,39.392223,100.564081,17.570707,96.755608,28.241921,241.588479,286.696295,390.362582,6.652168,54.932046
0.009679,167.402139,195.094977,2.640931,0.001293,1.061097,124.129654,195.094977,266.0603,23.899507,287.675373,52.712756,231.837556,280.822678,394.560754,146.389073,171.705249
-0.089106,79.017423,45.093188,0.968567,-0.001187,1.152258,31.872521,45.093188,58.313854,7.498722,45.161423,-1.681536,229.913843,268.394041,355.957772,-30.585256,74.691424
-0.089123,79.788099,46.074804,0.968538,-0.001188,1.152329,33.187015,46.074804,58.962594,7.498093,45.88888,-1.683524,229.913152,268.396846,355.970816,-30.06957,75.761401
-0.011967,105.632067,100.171629,2.023439,0.000162,1.026879,59.474739,100.171629,140.868518,18.846606,144.038574,33.262809,217.940589,259.864589,356.091604,47.113294,90.309367
-0.090561,147.607584,132.457043,0.965987,-0.001281,1.158592,148.862423,132.457043,116.051662,7.442754,109.905151,-1.858445,229.852417,268.643619,357.118643,15.310725,169.919364
-0.089008,74.393367,39.20349,0.968741,-0.001181,1.151831,23.985562,39.20349,54.421418,7.502495,40.796677,-1.66961,229.917984,268.377216,355.879511,-33.679367,68.271563
-0.088992,73.622691,38.221874,0.96877,-0.00118,1.15176,22.671068,38.221874,53.772679,7.503124,40.069219,-1.667622,229.918674,268.374412,355.866468,-34.195052,67.201586
-0.089221,84.412155,51.964502,0.968364,-0.001194,1.152756,41.073974,51.964502,62.85503,7.49432,50.253626,-1.69545,229.909011,268.413671,356.049077,-26.975459,82.181262
-0.056461,63.282256,41.056675,1.867917,-0.000035,1.127677,-22.650177,41.056675,104.763528,17.28807,101.567188,28.175659,241.424651,286.612982,390.527415,9.902189,58.983817
-0.088976,72.852015,37.240257,0.968799,-0.001179,1.151689,21.356575,37.240257,53.123939,7.503753,39.341762,-1.665634,229.919364,268.371607,355.853424,-34.710737,66.131609
-0.054763,110.02576,104.529094,1.868629,-0.000015,1.125125,49.646827,104.529094,159.411361,17.379327,163.572459,28.16208,240.692859,286.519909,392.297531,53.661279,110.686409
-0.089188,82.870803,50.00127,0.968422,-0.001192,1.152614,38.444988,50.00127,61.557552,7.495578,48.798711,-1.691475,229.910392,268.408063,356.02299,-28.00683,80.041309
-0.053395,150.983243,162.829556,1.87243,-0.000001,1.123224,106.473435,162.829556,219.185677,16.930161,231.696097,28.016394,239.647183,286.332014,394.63823,101.271738,167.382352
