@relation 'bookkeeperdataset-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1'

@attribute AVG_Churn numeric
@attribute AVG_ChgSet numeric
@attribute WeightedAge numeric
@attribute Buggy {NO,YES}

@data
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
59.333332,12.666667,55.804348,YES
3,37,59,YES
4,37,59,YES
13,37,59,YES
0,0,0,NO
37,8,57,NO
13,26,49,NO
0,0,0,NO
-1,26,49,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,10,55,YES
6,37,59,YES
0,0,0,NO
0,0,0,NO
6,6,60,YES
0,0,0,NO
11,6,60,YES
62.5,11,56.177914,YES
0,10,55,YES
4,6,60,YES
0,0,0,NO
0,0,0,NO
9,8,57,YES
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
5,37,59,YES
0,0,0,NO
0,0,0,NO
0,37,59,YES
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,37,59,YES
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
9,4,49.6,YES
0,37,59,YES
0,0,0,NO
0,0,0,NO
4,37,59,YES
0,0,0,NO
0,0,0,NO
6,25,50.25,YES
5.5,27,57.5,YES
3,17,52,NO
0,0,0,NO
8,17,52,NO
0,0,0,NO
9,17,52,NO
14,17,52,NO
9,17,52,NO
29.333334,22.333334,54.006096,YES
0,0,0,NO
1,17,52,NO
118,12.666667,52.823944,YES
0,0,0,NO
0,0,0,NO
0,0,0,NO
33,31.5,57.37838,YES
0,0,0,NO
0,0,0,NO
3,26,49,NO
0,0,0,NO
0,0,0,NO
30.666666,26.666666,54.760418,YES
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
11,23.5,57.625,YES
0,37,59,YES
0,0,0,NO
0,0,0,NO
2,10,55,YES
0,10,55,YES
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
16,26,49,NO
175,17.666666,50.505405,YES
0,0,0,NO
114,20.5,49.0695,YES
0,0,0,NO
0,0,0,NO
21,13,38,YES
0,0,0,NO
0,0,0,NO
4,13,38,YES
0,37,59,YES
0,0,0,NO
4,13,38,YES
5,13,38,YES
0,0,0,NO
5,13,38,YES
17,25,48.8,YES
0,0,0,NO
0,37,59,YES
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
17.666666,19.333334,52.024097,YES
27,21.5,48.846153,YES
1,37,59,YES
7,25,51.5,YES
0,0,0,NO
0,0,0,NO
22.333334,17,55.446968,YES
172,6,37,YES
1,37,59,YES
0,0,0,NO
47.666668,6.333334,52.791046,YES
12,26,49,NO
0,0,0,NO
